RANGO DIST,RENOVACIÒ,TIPO DE RI,BLOQUE COS,mean,DISTANCIAM,CICLO,FECHA CORT,TIPO COSEC,AREA CAÑA,FINCA,TCH 23-24,EDAD COSEC,FECHA CO_1,VARIEDAD,Name,ESTIMADO 2,TIPO DE SU,OBJECTID,FECHA COSE,UBICACIÒN,Area Calc,EDAD HOY,DISTRITO,fid,ESTATUS,TIPO DE CO,SEMAN COSE,SEMANA COS,LOTE_ID
<10,,SEMIFIJO,RAL BLOQ17,0.5934131438424822,1.6,R1,12/29/2023,COSECHA MECANICA,8.16,RANCHO ALEGRE,77.55,11.97,12/29/2023,CP72-2086,RAL055,75,ARC,616,12/22/2024,CENTRO,3.044,242,D32,435,Comercial,COSECHA MECANICA,5,4,RAL055
<10,,SEMIFIJO,RAL BLOQ17,0.5116098252991303,1.5,R1,01/03/2024,MANUAL,3.19,RANCHO ALEGRE,117.45,12.03,01/03/2024,CP73-1547,RAL056,115,ARC,617,12/29/2024,CENTRO,3.191,237,D32,436,Comercial,MANUAL,4,5,RAL056
<10,,SEMIFIJO,RAL BLOQ17,0.5147119978896293,1.5,R1,12/30/2023,COSECHA MECANICA,6.53,RANCHO ALEGRE,95.16,11.93,12/30/2023,CP73-1547,RAL057,92,ARC,618,12/22/2024,CENTRO,4.556,241,D32,437,Comercial,COSECHA MECANICA,5,4,RAL057
<10,,SEMIFIJO,RAL BLOQ17,0.5693407626475268,1.5,R1,12/30/2023,COSECHA MECANICA,6.53,RANCHO ALEGRE,95.16,11.93,12/30/2023,CP73-1547,RAL057,92,ARC,619,12/22/2024,CENTRO,1.983,241,D32,438,Comercial,COSECHA MECANICA,5,4,RAL057
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ13,0.6797899481432325,1.5,R1,12/23/2023,COSECHA MECANICA,6.34,RANCHO ALEGRE,65.56,11.47,12/23/2023,CP73-1547,RAL058,63,ARC,620,12/01/2024,CENTRO,6.343,248,D32,439,Comercial,COSECHA MECANICA,4,1,RAL058
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ13,0.7208297648339237,1.5,R1,12/23/2023,COSECHA MECANICA,7.56,RANCHO ALEGRE,84.13,11.47,12/23/2023,CP73-1547,RAL059,80,ARC,621,12/01/2024,CENTRO,7.561,248,D32,440,Comercial,COSECHA MECANICA,4,1,RAL059
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ13,0.7431228448100902,1.6,R1,12/23/2023,COSECHA MECANICA,5.6,RANCHO ALEGRE,76.7,11.47,12/23/2023,CP72-2086,RAL060,70,FARC,622,12/01/2024,CENTRO,5.606,248,D32,441,Comercial,COSECHA MECANICA,4,1,RAL060
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ14,0.6584140056574328,1.6,R1,12/24/2023,COSECHA MECANICA,5.05,RANCHO ALEGRE,73.69,11.43,12/24/2023,CP72-2086,RAL061,68,FARC,623,12/01/2024,CENTRO,5.049,247,D32,442,Comercial,COSECHA MECANICA,4,1,RAL061
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ14,0.6797582001721065,1.6,R1,12/24/2023,COSECHA MECANICA,7.62,RANCHO ALEGRE,73.41,11.43,12/24/2023,CP72-2086,RAL062,68,FARC,624,12/01/2024,CENTRO,7.625,247,D32,443,Comercial,COSECHA MECANICA,4,1,RAL062
<10,SEMIFIJO - GOTEO,SEMIFIJO,RAL BLOQ14,0.7784439201387476,1.5,R1,12/24/2023,COSECHA MECANICA,9.76,RANCHO ALEGRE,69.22,11.43,12/24/2023,CP72-2086,RAL063,65,FLARC,625,12/01/2024,CENTRO,9.768,247,D32,444,Comercial,COSECHA MECANICA,4,1,RAL063
<10,,SEMIFIJO,RAL BLOQ17,0.5462746592321583,1.5,R1,01/05/2024,COSECHA MECANICA,8.41,RANCHO ALEGRE,88.1,11.97,01/05/2024,CP73-1547,RAL064,85,ARC,626,12/29/2024,CENTRO,6.265,235,D32,445,Comercial,COSECHA MECANICA,6,5,RAL064
<10,,SEMIFIJO,RAL BLOQ17,0.5602472001501444,1.5,R1,01/05/2024,COSECHA MECANICA,8.41,RANCHO ALEGRE,88.1,11.97,01/05/2024,CP73-1547,RAL064,85,ARC,627,12/29/2024,CENTRO,2.149,235,D32,446,Comercial,COSECHA MECANICA,6,5,RAL064
<10,,SEMIFIJO,RAL BLOQ17,0.5165383939175744,1.5,R1,01/11/2024,MANUAL,3.07,RANCHO ALEGRE,92.35,11.77,01/11/2024,CP72-2086,RAL065,85,ARC,628,12/29/2024,CENTRO,3.077,229,D32,447,Comercial,MANUAL,5,5,RAL065
<10,SEMIFIJO - GOTEO,ASPERSIÃ“N,RAL BLOQ18,0.5875739737914462,1.5,R1,01/10/2024,MANUAL,4.48,RANCHO ALEGRE,101.89,10.87,01/10/2024,CG02-163,RAL066,100,FLARC,629,12/01/2024,CENTRO,4.478,230,D32,448,Comercial,MANUAL,9,1,RAL066
<10,,SEMIFIJO,RAL BLOQ18,0.47643456006467555,1.5,R1,04/04/2024,MANUAL,6.96,RANCHO ALEGRE,61.79,9.2,04/04/2024,CP89-2143,RAL018,60,FARC,942,01/05/2025,CENTRO,6.84,145,D32,742,Semillero,MANUAL,17,6,RAL018
